subject_id,timestamp,response_time,block_num,question_type,question_text,response_numbers,response_strings,response_value,response_string,is_correct
F102-2,1613082734.1527429,6.119858961999853,0,affect,How sad vs. happy are you at this moment?,"[1, 2, 3]","['Extremely Sad', 'Neutral', 'Extremely Happy']",0.560546875,Extremely Happy,-1
F102-2,1613082748.437619,5.410640930000227,0,reading_validity_page_1,"Suppose that we have strong evidence that there is a relationship between two variables, and that it is a plausibly causal relationship.",[],[],-1,None,-1
F102-2,1613082764.006952,15.56915555100204,0,reading_validity_page_2,"Given the plausibly causal relationship between X and Y, what are the cause and effect constructs (the intervening variables) involved in the relationship? This leads to a type of validity concerned with the psychological qualities contributing to the relationship between X and Y, known as construct validity.",[],[],-1,None,-1
F102-2,1613082777.437571,13.430442760000005,0,reading_validity_page_3,"Some researchers argue that assessing construct validity ideally depends on two processes: (a) the testing for a 'convergence' across different measures or manipulations of the same behavior, and (b) the testing for a 'divergence' between measures or manipulations of related but conceptually distinct behaviors.
",[],[],-1,None,-1
F102-2,1613082784.325739,6.88801730999694,0,reading_validity_page_4,Imagine developing a new test of sensitivity to nonverbal cues that assessed people's ability to read other people's emotions from still photographs.,[],[],-1,None,-1
F102-2,1613082788.233821,3.9079473089987005,0,reading_validity_page_5,We would want it to correlate with other tests of sensitivity to nonverbal cues.,[],[],-1,None,-1
F102-2,1613082791.333861,3.0999072289996548,0,reading_validity_page_6,"If it did correlate, we would have achieved convergent validity.",[],[],-1,None,-1
F102-2,1613082795.292667,3.958653227000468,0,reading_validity_page_7,"However, we would not want our new test to correlate very highly with a standard IQ test.",[],[],-1,None,-1
F102-2,1613082799.544729,4.251925808999658,0,reading_validity_page_8,"If it did correlate highly, it could be argued that what we had developed was simply a measure of intelligence.",[],[],-1,None,-1
F102-2,1613082803.156749,3.6118849639969994,0,reading_validity_page_9,That result would argue for poor discriminant validity.,[],[],-1,None,-1
F102-2,1613082812.644732,9.48782987300001,0,reading_validity_page_10,"We want our measures to correlate highly with the measures that our theory says they should correlate highly with, but much less with the measures our theory says they should not correlate so highly with.
",[],[],-1,None,-1
F102-2,1613082829.882139,17.237220519000402,0,reading_validity_page_11,"Once we establish the validity of our construct, we must ask 'how generalizable is the causal relationship between X and Y across persons, settings, and times?' External validity refers to the generalizability of a relationship beyond the circumstances under which it is observed by the scientist, or outside the controlled setting of a laboratory.",[],[],-1,None,-1
F102-2,1613082838.673741,8.791445754999586,0,reading_validity_page_12,Internal validity refers to whether the relationship between the variables is free of confounds.,[],[],-1,None,-1
F102-2,1613082843.892066,5.21817927900338,0,reading_validity_page_13,If a construct has both external and internal validity we can say it has inferential validity.,[],[],-1,None,-1
F102-2,1613082850.113983,6.221770575000846,0,reading_validity_page_14,"Given a high degree of internal and external validity, we may legitimately make generalizations.
",[],[],-1,None,-1
F102-2,1613082861.086144,10.97197777600013,0,reading_validity_page_15,"To illustrate a possible threat to external validity, research suggests subjects who volunteer as research participants are more responsive to coercive task-orienting cues than nonvolunteer participants.",[],[],-1,None,-1
F102-2,1613082866.3100202,5.223701240000082,0,reading_validity_page_16,This has serious consequences for psychological research that uses primarily volunteers.,[],[],-1,None,-1
F102-2,1613082870.440036,4.129818055000214,0,reading_validity_page_17,"For example, many studies on 'fear appeals' use volunteer subjects.",[],[],-1,None,-1
F102-2,1613082878.432054,7.991820785999153,0,reading_validity_page_18,These are messages that are intended to arouse emotional tensions.,[],[],-1,None,-1
F102-2,1613082884.45234,6.020144205998804,0,reading_validity_page_19,Subjects were more likely to be persuaded by the fear appeal the more threatening it was.,[],[],-1,None,-1
F102-2,1613082888.1619232,3.709449502002826,0,reading_validity_page_20,These results might be lacking in external validity due to the use of volunteers.,[],[],-1,None,-1
F102-2,1613082890.027444,1.865394426000421,0,reading_validity_page_21,In real life we are exposed to all sorts of fear appeals whether we choose to be subjected to them or not.,[],[],-1,None,-1
F102-2,1613082900.595196,8.535551070999645,0,mind_wandering,How much were you 'zoning out' while reading the text?,"[1, 2]","['Not at all', 'Most']",0.2109375,Most,-1
F102-2,1613082922.636929,,0,mult_choice_validity_page_3,Why might a construct have poor internal validity?,"[1, 2, 3, 4]","['Because it was studied in a specific population and might not apply to another population', 'Because it has only been observed in a laboratory', 'Because it has poor inferential validity', 'Because there is another explanation for the relationship between the variables']",-1,TIMEOUT,-2
