subject_id,timestamp,response_time,block_num,question_type,question_text,response_numbers,response_strings,response_value,response_string,is_correct
f110-2,1614290762.01238,4.640117331000511,0,affect,How sad vs. happy are you at this moment?,"[1, 2, 3]","['Extremely Sad', 'Neutral', 'Extremely Happy']",0.5,Extremely Happy,-1
f110-2,1614290779.580599,7.214553180001531,0,reading_validity_page_1,"Suppose that we have strong evidence that there is a relationship between two variables, and that it is a plausibly causal relationship.",[],[],-1,None,-1
f110-2,1614290797.96447,18.383692036997672,0,reading_validity_page_2,"Given the plausibly causal relationship between X and Y, what are the cause and effect constructs (the intervening variables) involved in the relationship? This leads to a type of validity concerned with the psychological qualities contributing to the relationship between X and Y, known as construct validity.",[],[],-1,None,-1
f110-2,1614290814.986676,17.02202197999941,0,reading_validity_page_3,"Some researchers argue that assessing construct validity ideally depends on two processes: (a) the testing for a 'convergence' across different measures or manipulations of the same behavior, and (b) the testing for a 'divergence' between measures or manipulations of related but conceptually distinct behaviors.
",[],[],-1,None,-1
f110-2,1614290823.152958,8.166121663998638,0,reading_validity_page_4,Imagine developing a new test of sensitivity to nonverbal cues that assessed people's ability to read other people's emotions from still photographs.,[],[],-1,None,-1
f110-2,1614290830.9782789,7.825150590000703,0,reading_validity_page_5,We would want it to correlate with other tests of sensitivity to nonverbal cues.,[],[],-1,None,-1
f110-2,1614290835.259655,4.281223320002027,0,reading_validity_page_6,"If it did correlate, we would have achieved convergent validity.",[],[],-1,None,-1
f110-2,1614290839.506658,4.246871111001383,0,reading_validity_page_7,"However, we would not want our new test to correlate very highly with a standard IQ test.",[],[],-1,None,-1
f110-2,1614290844.2568178,4.750025867000659,0,reading_validity_page_8,"If it did correlate highly, it could be argued that what we had developed was simply a measure of intelligence.",[],[],-1,None,-1
f110-2,1614290848.347672,4.090671251997264,0,reading_validity_page_9,That result would argue for poor discriminant validity.,[],[],-1,None,-1
f110-2,1614290858.5085812,10.160757017998549,0,reading_validity_page_10,"We want our measures to correlate highly with the measures that our theory says they should correlate highly with, but much less with the measures our theory says they should not correlate so highly with.
",[],[],-1,None,-1
f110-2,1614290875.512862,17.004100637997908,0,reading_validity_page_11,"Once we establish the validity of our construct, we must ask 'how generalizable is the causal relationship between X and Y across persons, settings, and times?' External validity refers to the generalizability of a relationship beyond the circumstances under which it is observed by the scientist, or outside the controlled setting of a laboratory.",[],[],-1,None,-1
f110-2,1614290884.010869,8.497836787002598,0,reading_validity_page_12,Internal validity refers to whether the relationship between the variables is free of confounds.,[],[],-1,None,-1
f110-2,1614290892.0244648,8.013427804002276,0,reading_validity_page_13,If a construct has both external and internal validity we can say it has inferential validity.,[],[],-1,None,-1
f110-2,1614290895.931642,3.907037742999819,0,reading_validity_page_14,"Given a high degree of internal and external validity, we may legitimately make generalizations.
",[],[],-1,None,-1
f110-2,1614290908.0489259,12.117038014999707,0,reading_validity_page_15,"To illustrate a possible threat to external validity, research suggests subjects who volunteer as research participants are more responsive to coercive task-orienting cues than nonvolunteer participants.",[],[],-1,None,-1
f110-2,1614290911.826838,3.7777773720008554,0,reading_validity_page_16,This has serious consequences for psychological research that uses primarily volunteers.,[],[],-1,None,-1
f110-2,1614290916.5509,4.723865938001836,0,reading_validity_page_17,"For example, many studies on 'fear appeals' use volunteer subjects.",[],[],-1,None,-1
