subject_id,timestamp,response_time,block_num,question_type,question_text,response_numbers,response_strings,response_value,response_string,is_correct
trev,1611961678.1266582,0.9958345819977694,0,affect,Please Indicate the extent to which you feel happy or sad currently.,"[1, 2, 3]","['Extremely Sad', 'Neutral', 'Extremely Happy']",0.2109375,Extremely Happy,-1
trev,1611961689.9213119,0.7793040489996201,0,reading_hypotheses_page_1,"Good scientific practice is more, of course, than an exercise in deliberate observation and the use of adequate control groups to expose and assess bias.",[],[],-1,None,-1
trev,1611961697.7662416,7.844830651996745,0,reading_hypotheses_page_2,"Whether a program of research will 'pay off' by casting new light on some difficult problem or perplexing aspect of behavior will also depend on the quality of the scientist's research ideas, or hypotheses.",[],[],-1,None,-1
trev,1611961701.9142902,4.14794616600193,0,reading_hypotheses_page_3,"The scientist views facts not as isolated or separate entities or events, but as meaningfully connected.",[],[],-1,None,-1
trev,1611961707.9351952,6.020823028997256,0,reading_hypotheses_page_4,"The scientist's hypotheses are the starting points for approaching this sort of connectedness, by making a theoretical guess as to the significance or meaning of a given fact.
",[],[],-1,None,-1
trev,1611961713.3571663,5.42186872199818,0,reading_hypotheses_page_5,"Any research project begins with selecting and narrowing the question originally asked, to make it manageable for study within the available resources.",[],[],-1,None,-1
trev,1611961715.4261503,2.0688779069969314,0,reading_hypotheses_page_6,Extensive preparation is crucial.,[],[],-1,None,-1
trev,1611961723.3150823,7.888830271000188,0,reading_hypotheses_page_7,"The literature should be carefully reviewed, and the task should be thought about at length.",[],[],-1,None,-1
trev,1611961727.063105,3.7479001249994326,0,reading_hypotheses_page_8,One must select the most fundamental elements that will constitute the crux of the hypotheses.,[],[],-1,None,-1
trev,1611961732.2480645,5.184859296998184,0,reading_hypotheses_page_9,"A classic principle of this intellectual ruminative and winnowing process is known as Occam's razor, named after the philosopher William of Occam.",[],[],-1,None,-1
trev,1611961738.0190685,5.7708979659983015,0,reading_hypotheses_page_10,"The principle of Occam's razor, also called the principle of parsimony, teaches that hypotheses introduced to explain relationships should be as parsimonious as possible.",[],[],-1,None,-1
trev,1611961739.6940596,1.6748893489966576,0,reading_hypotheses_page_11,We 'cut away' what is superfluous.,[],[],-1,None,-1
trev,1611961744.1040285,4.409868286002165,0,reading_hypotheses_page_12,"Occam's razor is a qualified demand for prudence so that we do not overcomplicate the search for truth.
",[],[],-1,None,-1
trev,1611961747.4160142,3.3118861370021477,0,reading_hypotheses_page_13,There are several kinds of hypotheses in behavioral science.,[],[],-1,None,-1
trev,1611961751.5500035,4.13388655000017,0,reading_hypotheses_page_14,"A working hypothesis is a proposition, or set of propositions, that serves to guide and organize an empirical investigation.",[],[],-1,None,-1
trev,1611961757.5619922,6.011886133997905,0,reading_hypotheses_page_15,"For example, social psychologist Leon Festinger, in trying to account for the fact that some earthquake victims in India spread false rumors about future catastrophes, was inspired to develop two basic hypotheses that became the starting point for an elaborate program of experimental research.
",[],[],-1,None,-1
trev,1611961762.8349326,5.272834860999865,0,reading_hypotheses_page_16,"Festinger wondered why those rumors arose and were so widely accepted, since the belief that terrible disasters are coming seems frightening.",[],[],-1,None,-1
trev,1611961767.0609512,4.225915426002757,0,reading_hypotheses_page_17,He theorized that there should be 'cognitive dissonance' arising from the experience of having survived a devastating earthquake in which other people had perished.,[],[],-1,None,-1
trev,1611961768.8809295,1.8198734450015763,0,reading_hypotheses_page_18,"The rumors, he reasoned, gave the survivors something to be frightened about.",[],[],-1,None,-1
trev,1611961777.071877,8.190851474999363,0,reading_hypotheses_page_19,"This was reassuring for them in a way! That is, since the rumors provided them with information that fit with the way they already felt, the rumors were anxiety-justifying and dissonance-reducing instead of anxiety-provoking, he theorized.",[],[],-1,None,-1
trev,1611961781.929198,2.8307719309996173,0,mind_wandering,How much were you 'zoning out' while reading the text.,"[1, 2]","['Not at all', 'Most']",0.30104166666666665,Most,-1
trev,1611961796.0951533,14.130038210998464,0,mult_choice,Please select the best answer to the question.,"[1, 2, 3, 4]","['It justified how anxious they felt', 'Because they felt guilty for surviving the last disaster when so many others had died', ""It gave them something to focus on so they didn't have to think about the trauma they had suffered"", 'Because telling others about an upcoming disaster made them feel important']",2,Because they felt guilty for surviving the last disaster when so many others had died,0
trev,1611961802.1121264,5.980148847000237,0,mult_choice,Please select the best answer to the question.,"[1, 2, 3, 4]","['A tool used by those who search for truth', 'A book by the philosopher William of Occam', 'The process by which we search for the simplest explanation for an observation', 'The process by which we search for connections between facts']",3,The process by which we search for the simplest explanation for an observation,1
trev,1611961809.8840954,7.735390789999656,0,mult_choice,Please select the best answer to the question.,"[1, 2, 3, 4]","['A theoretically-driven guess about connections between entities and events', 'A careful, deliberate observation which uses adequate control groups', 'A set of interconnected facts, entities and events', 'A theory which is uncertain and needs further evidence']",4,A theory which is uncertain and needs further evidence,0
trev,1611961813.9880092,4.071891165000125,0,mult_choice,Please select the best answer to the question.,"[1, 2, 3, 4]","['The spread of gossip and its similarity to a commodity in a marketplace', 'Earthquake victims in India', 'The Scientific Method', 'The effect of stress on verbal learning']",2,Earthquake victims in India,1
trev,1611961956.7481592,3.381040011998266,1,affect,Please Indicate the extent to which you feel happy or sad currently.,"[1, 2, 3]","['Extremely Sad', 'Neutral', 'Extremely Happy']",0.24296874999999996,Extremely Happy,-1
trev,1611962127.3801365,4.878498402998957,0,affect,Please Indicate the extent to which you feel happy or sad currently.,"[1, 2, 3]","['Extremely Sad', 'Neutral', 'Extremely Happy']",0.49921875000000004,Extremely Happy,-1
trev,1611962136.0082242,1.5022173860015755,1,reading_causalclaims_page_1,College students who have examinations the subsequent day might pull an 'all-nighter' in which they sacrifice sleep for one complete night of exam preparation.,[],[],-1,None,-1
trev,1611962137.2592056,1.250891130999662,1,reading_causalclaims_page_2,A study measured the sleep habits of 111 students to see if there was a correlation between getting regular sleep and student grades.,[],[],-1,None,-1
trev,1611962138.6752417,1.4159499859997595,1,reading_causalclaims_page_3,Those who skipped a night of sleep to study for a test were found to achieve lower grades than those who did not stay up.,[],[],-1,None,-1
trev,1611962139.301207,0.6258822589988995,1,reading_causalclaims_page_4,"It may seem that the conclusion from this study is that 'pulling an all-nighter' will cause students to attain low grades, however that constitutes a common scientific mistake.
",[],[],-1,None,-1
trev,1611962139.816183,0.514846107998892,1,reading_causalclaims_page_5,The mistake was to erroneously interpret the results as demonstrating cause and effect.,[],[],-1,None,-1
trev,1611962140.3092015,0.4929358980007237,1,reading_causalclaims_page_6,"Unfortunately for the prospects of testing causal claims about sleep deprivation and exam performance, the original study used a quasi-experimental design, where no experimental manipulation was performed.",[],[],-1,None,-1
trev,1611962140.7201512,0.41086329799873056,1,reading_causalclaims_page_7,The finding indicates that getting less sleep is correlated with getting lower grades yet does not support the claim that getting less sleep causes lower grades.,[],[],-1,None,-1
