subject_id,timestamp,block_num,hand_condition,bpm,event
P107,1614037793.40684,0,right,80,start
P107,1614037794.075404,0,right,80,tap_prompted
P107,1614037794.175712,0,right,80,tap_missed
P107,1614037794.816517,0,right,80,tap_prompted
P107,1614037794.916786,0,right,80,tap_missed
P107,1614037795.566964,0,right,80,tap_prompted
P107,1614037795.6672351,0,right,80,tap_missed
P107,1614037796.317096,0,right,80,tap_prompted
P107,1614037796.3904178,0,right,80,tap_registered
P107,1614037797.067005,0,right,80,tap_prompted
P107,1614037797.154332,0,right,80,tap_registered
P107,1614037797.817824,0,right,80,tap_prompted
P107,1614037797.88236,0,right,80,tap_registered
P107,1614037798.569323,0,right,80,tap_prompted
P107,1614037798.580543,0,right,80,tap_registered
P107,1614037799.319187,0,right,80,tap_prompted
P107,1614037799.323543,0,right,80,tap_registered
P107,1614037800.069955,0,right,80,tap_prompted
P107,1614037800.079374,0,right,80,tap_registered
P107,1614037800.820333,0,right,80,tap_prompted
P107,1614037800.8435671,0,right,80,tap_registered
P107,1614037801.5712252,0,right,80,tap_prompted
P107,1614037801.665426,0,right,80,tap_registered
P107,1614037802.3210251,0,right,80,tap_prompted
P107,1614037802.355463,0,right,80,tap_registered
P107,1614037803.0729249,0,right,80,tap_prompted
P107,1614037803.093548,0,right,80,tap_registered
P107,1614037803.823554,0,right,80,tap_prompted
P107,1614037803.838402,0,right,80,tap_registered
P107,1614037804.573225,0,right,80,tap_prompted
P107,1614037804.613342,0,right,80,tap_registered
P107,1614037805.323425,0,right,80,tap_prompted
P107,1614037805.381456,0,right,80,tap_registered
P107,1614037806.073378,0,right,80,tap_prompted
P107,1614037806.163388,0,right,80,tap_registered
P107,1614037806.824281,0,right,80,tap_prompted
P107,1614037806.8864279,0,right,80,tap_registered
P107,1614037807.5741,0,right,80,tap_prompted
P107,1614037807.674401,0,right,80,tap_missed
P107,1614037808.323871,0,right,80,tap_prompted
P107,1614037808.334541,0,right,80,tap_registered
P107,1614037808.441532,0,right,80,end
P107,1614037818.765515,1,right,80,start
P107,1614037819.423811,1,right,80,tap_prompted
P107,1614037819.5240881,1,right,80,tap_missed
P107,1614037820.173631,1,right,80,tap_prompted
P107,1614037820.273854,1,right,80,tap_missed
P107,1614037820.934645,1,right,80,tap_prompted
P107,1614037821.034986,1,right,80,tap_missed
P107,1614037821.673562,1,right,80,tap_prompted
P107,1614037821.77247,1,right,80,tap_registered
P107,1614037822.42352,1,right,80,tap_prompted
P107,1614037822.523732,1,right,80,tap_missed
P107,1614037823.173664,1,right,80,tap_prompted
P107,1614037823.2143412,1,right,80,tap_registered
