subject_id,timestamp,block_num,trial_num,display_text,display_color,trial_type,response_accuracy,response_time
F101,1613067783.137263,0,0,red,red,congruent,correct,888.8259649993415
F101,1613067786.2035468,0,1,blue,blue,congruent,correct,1050.879073998658
F101,1613067788.986825,0,2,yellow,yellow,congruent,correct,767.462441999669
F101,1613067791.98608,0,3,yellow,yellow,congruent,correct,983.4787379986665
F101,1613067794.769643,0,4,yellow,yellow,congruent,correct,767.2741120004503
F101,1613067797.6032069,0,5,red,red,congruent,correct,817.6998130002175
F101,1613067800.435672,0,6,blue,blue,congruent,correct,817.1144790012477
F101,1613067803.236031,0,7,red,red,congruent,correct,785.4427429992938
F101,1613067805.9855108,0,8,yellow,yellow,congruent,correct,733.8579440001922
F101,1613067808.78512,0,9,yellow,yellow,congruent,correct,784.1230920003
F101,1613067811.518253,0,10,red,red,congruent,correct,717.5835920006648
F101,1613067829.5488021,1,0,yellow,yellow,congruent,correct,947.557383999083
F101,1613067832.335674,1,1,blue,red,incongruent,correct,770.0883350007643
F101,1613067835.014684,1,2,blue,red,incongruent,correct,665.6955319995177
F101,1613067837.833709,1,3,red,red,congruent,correct,800.8273359992018
F101,1613067840.61804,1,4,blue,yellow,incongruent,correct,768.9483049998671
F101,1613067843.399133,1,5,yellow,red,incongruent,correct,766.3290340005915
F101,1613067846.333127,1,6,yellow,red,incongruent,correct,917.1335360006196
F101,1613067849.1329322,1,7,red,red,congruent,incorrect,784.8172390004038
F101,1613067852.182645,1,8,red,yellow,incongruent,correct,1035.6275109988928
F101,1613067855.316127,1,9,red,blue,incongruent,correct,1117.7978110008553
F101,1613067858.1483798,1,10,yellow,yellow,congruent,correct,816.5917500009527
F101,1613067875.947192,2,0,red,red,congruent,correct,726.8636959997821
F101,1613067878.646834,2,1,blue,blue,congruent,correct,683.8226429990755
F101,1613067881.3807092,2,2,blue,red,incongruent,correct,717.5635240000702
F101,1613067884.246732,2,3,yellow,red,incongruent,correct,851.4392119996046
F101,1613067887.230279,2,4,red,blue,incongruent,correct,967.7721210009622
F101,1613067890.080343,2,5,yellow,red,incongruent,correct,834.4013109999651
F101,1613067893.0639691,2,6,red,yellow,incongruent,correct,968.7521819996618
F101,1613067895.929334,2,7,blue,blue,congruent,correct,851.8288430004759
F101,1613067898.696036,2,8,blue,red,incongruent,correct,751.0769229993457
F101,1613067901.745603,2,9,red,blue,incongruent,correct,1033.7823669997306
F101,1613067904.945289,2,10,red,yellow,incongruent,correct,1184.1930330010655
F101,1613067922.8772538,3,0,yellow,yellow,congruent,correct,854.584958000487
F101,1613067925.578003,3,1,red,red,congruent,correct,684.9234399996931
F101,1613067928.492169,3,2,blue,blue,congruent,correct,900.143308999759
F101,1613067931.5265532,3,3,blue,blue,congruent,correct,1016.8385950000811
F101,1613067934.276862,3,4,red,red,congruent,correct,734.4607310005813
F101,1613067937.426406,3,5,red,red,congruent,correct,1135.2946120005072
F101,1613067940.134249,3,6,blue,blue,congruent,correct,684.0859570002067
F101,1613067942.759552,3,7,yellow,yellow,congruent,correct,617.6098850010021
F101,1613067945.409728,3,8,red,red,congruent,correct,634.7009330002038
F101,1613067948.026056,3,9,blue,blue,congruent,correct,601.1852540013933
F101,1613067950.675373,3,10,blue,blue,congruent,correct,633.7151249990711
F101,1613067968.6574552,4,0,blue,red,incongruent,correct,902.155470001162
F101,1613067971.290851,4,1,blue,yellow,incongruent,correct,616.8063059994893
F101,1613067973.974508,4,2,blue,red,incongruent,correct,668.1155850001232
F101,1613067976.656954,4,3,red,yellow,incongruent,correct,666.4403190006851
F101,1613067979.423429,4,4,blue,red,incongruent,correct,749.9219860001176
F101,1613067982.3065379,4,5,red,blue,incongruent,correct,866.7123620016355
F101,1613067984.987775,4,6,blue,yellow,incongruent,correct,665.2864879997651
F101,1613067987.824235,4,7,yellow,yellow,congruent,correct,818.1881879991124
F101,1613067990.539781,4,8,yellow,blue,incongruent,correct,701.1539450013515
F101,1613067993.1708102,4,9,blue,blue,congruent,correct,615.6775039999047
F101,1613067995.938739,4,10,blue,red,incongruent,correct,750.8654880002723
F101,1613068013.888593,5,0,blue,blue,congruent,correct,867.0901890000096
F101,1613068016.538413,5,1,yellow,yellow,congruent,correct,634.9427189998096
F101,1613068019.086763,5,2,blue,blue,congruent,correct,532.9943090000597
F101,1613068021.554421,5,3,yellow,yellow,congruent,correct,452.1100090005348
F101,1613068024.103489,5,4,blue,blue,congruent,correct,533.3925440008898
F101,1613068026.670092,5,5,yellow,yellow,congruent,correct,550.5133490005392
F101,1613068029.2371001,5,6,red,red,congruent,correct,550.7594089995109
F101,1613068031.7532978,5,7,red,red,congruent,correct,500.5722070000047
F101,1613068034.386666,5,8,blue,blue,congruent,correct,617.7341340007843
F101,1613068036.853427,5,9,red,red,congruent,correct,451.29505499971856
F101,1613068039.353427,5,10,red,red,congruent,correct,484.04929699972854
F101,1613068042.052928,5,11,blue,blue,congruent,correct,683.913405999192
