subject_id,timestamp,block_num,trial_num,display_text,display_color,trial_type,response_accuracy,response_time
P107,1614037981.28128,0,0,red,red,congruent,correct,1009.740759000124
P107,1614037984.1145291,0,1,red,yellow,incongruent,correct,817.4070190034399
P107,1614037986.730873,0,2,red,yellow,incongruent,correct,600.1632249972317
P107,1614037989.447454,0,3,blue,yellow,incongruent,correct,700.7358349983406
P107,1614037991.9977129,0,4,blue,yellow,incongruent,correct,534.0973460006353
P107,1614037994.580222,0,5,blue,red,incongruent,correct,566.7574229992169
P107,1614037997.263731,0,6,yellow,blue,incongruent,correct,667.5824230005674
P107,1614038000.130141,0,7,red,yellow,incongruent,correct,850.7201700012956
P107,1614038002.647006,0,8,red,yellow,incongruent,correct,501.1701669973263
P107,1614038005.2139149,0,9,blue,yellow,incongruent,correct,551.1912570000277
P107,1614038008.06283,0,10,yellow,yellow,congruent,correct,834.0644029995019
P107,1614038010.277023,0,11,blue,blue,congruent,Block Timeout,-1
P107,1614038028.345001,1,0,red,yellow,incongruent,correct,988.0108709985507
P107,1614038031.211757,1,1,yellow,red,incongruent,correct,850.8069149975199
P107,1614038033.94433,1,2,blue,yellow,incongruent,correct,716.8911519984249
P107,1614038036.460835,1,3,blue,blue,congruent,correct,500.7163899972511
P107,1614038039.3274822,1,4,red,yellow,incongruent,correct,850.8470550004859
P107,1614038041.9441988,1,5,blue,red,incongruent,correct,600.9634520014515
P107,1614038044.4939818,1,6,blue,red,incongruent,correct,533.9635839991388
P107,1614038047.3102689,1,7,yellow,blue,incongruent,correct,800.7086030011124
P107,1614038050.0102642,1,8,blue,blue,congruent,correct,683.9017679994868
P107,1614038052.592851,1,9,red,blue,incongruent,correct,566.7480400006752
P107,1614038055.194766,1,10,red,red,congruent,correct,585.467062999669
P107,1614038057.357468,1,11,red,yellow,incongruent,Block Timeout,-1
P107,1614038075.208467,2,0,red,red,congruent,correct,766.6888700005074
P107,1614038077.807842,2,1,yellow,yellow,congruent,incorrect,583.8446779998776
P107,1614038080.407991,2,2,red,red,congruent,correct,583.3296429991606
P107,1614038083.007999,2,3,red,red,congruent,correct,584.6546579996357
P107,1614038085.6914408,2,4,yellow,yellow,congruent,incorrect,667.8842620021896
P107,1614038088.273977,2,5,blue,blue,congruent,correct,567.634482998983
P107,1614038090.8406222,2,6,blue,blue,congruent,correct,550.4079759994056
P107,1614038093.740292,2,7,yellow,yellow,congruent,correct,883.4592630009865
P107,1614038096.331164,2,8,red,red,congruent,correct,567.0332570007304
P107,1614038098.956619,2,9,blue,blue,congruent,correct,617.17339399911
P107,1614038101.5402188,2,10,blue,blue,congruent,correct,567.728291000094
P107,1614038104.174031,2,11,red,red,congruent,correct,619.4544690006296
P107,1614038122.204399,3,0,red,yellow,incongruent,correct,948.6425659997622
P107,1614038125.0051641,3,1,red,red,congruent,correct,784.9606230010977
P107,1614038127.8048482,3,2,blue,red,incongruent,correct,784.1028140028357
P107,1614038130.571368,3,3,blue,yellow,incongruent,correct,751.6492120012117
P107,1614038133.254474,3,4,yellow,yellow,congruent,correct,666.9496439972136
P107,1614038136.037441,3,5,red,red,congruent,correct,766.8451569988974
P107,1614038138.9039948,3,6,yellow,blue,incongruent,correct,850.6635609992372
P107,1614038141.70381,3,7,red,yellow,incongruent,correct,783.5326509994047
P107,1614038144.487096,3,8,yellow,red,incongruent,correct,767.4502759982715
P107,1614038147.286857,3,9,red,yellow,incongruent,correct,784.4645069999387
P107,1614038150.103381,3,10,yellow,yellow,congruent,correct,800.8203260033042
P107,1614038167.8690612,4,0,red,red,congruent,correct,694.5722730015405
P107,1614038170.7018461,4,1,yellow,yellow,congruent,correct,818.0058059988369
P107,1614038173.318242,4,2,red,red,congruent,correct,600.5426650008303
P107,1614038175.935413,4,3,blue,blue,congruent,correct,600.7165289993281
P107,1614038178.601304,4,4,blue,blue,congruent,correct,650.6372580006428
P107,1614038181.368432,4,5,yellow,yellow,congruent,correct,750.6808750003984
P107,1614038184.001407,4,6,yellow,yellow,congruent,correct,617.2835459983617
P107,1614038186.667892,4,7,red,red,congruent,correct,651.0042010013422
P107,1614038189.2170272,4,8,yellow,yellow,congruent,correct,534.0389279990632
P107,1614038191.85048,4,9,red,red,congruent,correct,617.3133049996977
P107,1614038194.4668748,4,10,blue,blue,congruent,correct,600.5688840014045
P107,1614038197.181751,4,11,yellow,yellow,congruent,Block Timeout,-1
P107,1614038214.865556,5,0,yellow,yellow,congruent,correct,606.0508160007885
P107,1614038217.4155369,5,1,yellow,yellow,congruent,correct,533.7426540027082
P107,1614038220.048909,5,2,red,red,congruent,correct,617.577960001654
P107,1614038222.748493,5,3,yellow,yellow,congruent,correct,683.9923789993918
P107,1614038225.231832,5,4,yellow,yellow,congruent,correct,467.75156899821013
P107,1614038227.747807,5,5,yellow,yellow,congruent,correct,500.7024549995549
P107,1614038230.414554,5,6,red,red,congruent,correct,651.4900859983754
P107,1614038233.06437,5,7,red,red,congruent,correct,633.1659839997883
P107,1614038235.798025,5,8,blue,blue,congruent,correct,717.9242370002612
P107,1614038238.313951,5,9,red,red,congruent,correct,500.27401199986343
P107,1614038240.814316,5,10,yellow,yellow,congruent,correct,484.5098660007352
P107,1614038243.3486478,5,11,blue,blue,congruent,correct,519.0528499988432
