subject_id,timestamp,block_num,trial_num,display_text,display_color,trial_type,response_accuracy,response_time
4321,1610040021.9244835,0,0,red,green,incongruent,correct,1588.902591999613
4321,1610040022.2644434,0,1,green,green,congruent,correct,200.4610979993231
4321,1610040023.8775136,0,2,green,blue,incongruent,incorrect,302.6239529999657
4321,1610040026.8945477,0,3,green,red,incongruent,incorrect,603.6341939998238
4321,1610040028.218605,0,4,green,green,congruent,incorrect,758.1646290000208
4321,1610040030.431572,0,5,green,red,incongruent,incorrect,416.4453869998397
4321,1610040031.6886368,0,6,blue,green,incongruent,incorrect,536.7090770005234
4321,1610040035.4407196,0,7,red,green,incongruent,incorrect,414.89715599982446
4321,1610040036.9777625,0,8,blue,green,incongruent,correct,515.2801839994936
4321,1610040038.7097895,0,9,green,blue,incongruent,incorrect,765.2285740005027
4321,1610040050.2960145,1,0,red,green,incongruent,correct,590.8977490007601
4321,1610040052.673021,1,1,blue,green,incongruent,incorrect,941.4722450001136
4321,1610040056.8171144,1,2,green,blue,incongruent,incorrect,365.06761700002244
4321,1610040059.1701195,1,3,red,red,congruent,incorrect,401.1967520000326
4321,1610040061.7701707,1,4,red,red,congruent,incorrect,292.4214060003578
4321,1610040064.8602355,1,5,blue,red,incongruent,incorrect,329.0244139998322
4321,1610040069.2893002,1,6,blue,red,incongruent,correct,569.6877800000948
4321,1610040070.5053413,1,7,blue,red,incongruent,incorrect,420.43674799970177
4321,1610040073.5863981,1,8,green,blue,incongruent,incorrect,420.6771769995612
4321,1610040077.9984634,1,9,blue,green,incongruent,incorrect,629.0964580002765
