subject_id,timestamp,block_num,trial_num,display_text,display_color,trial_type,response_accuracy,response_time
4444,1612213972.6837578,0,0,blue,blue,congruent,correct,901.8804000224918
4444,1612213975.253459,0,1,blue,blue,congruent,correct,552.959099994041
4444,1612213978.4899209,0,2,red,red,congruent,correct,1221.1819000076503
4444,1612213981.1612504,0,3,yellow,yellow,congruent,correct,653.7327000405639
4444,1612213983.9646835,0,4,red,red,congruent,correct,788.1974999909289
4444,1612213986.365628,0,5,red,red,congruent,correct,385.49489999422804
4444,1612213989.1851711,0,6,yellow,yellow,congruent,correct,803.0116999871098
4444,1612213991.5890188,0,7,blue,blue,congruent,correct,386.2827999982983
4444,1612213994.025102,0,8,blue,blue,congruent,correct,419.95509999105707
4444,1612213996.4438488,0,9,blue,blue,congruent,correct,402.8694999869913
4444,1612213999.02979,0,10,red,red,congruent,correct,569.6947000105865
4444,1612214001.3324904,0,11,red,red,congruent,correct,286.13289998611435
4444,1612214019.5036938,1,0,blue,yellow,incongruent,correct,1089.4283999805339
4444,1612214022.0552447,1,1,blue,blue,congruent,incorrect,535.2200000197627
4444,1612214024.5918553,1,2,yellow,blue,incongruent,correct,519.2956000100821
4444,1612214027.2448075,1,3,red,yellow,incongruent,correct,636.808099981863
4444,1612214029.914149,1,4,blue,red,incongruent,correct,652.8088999912143
4444,1612214032.6675844,1,5,yellow,yellow,congruent,correct,736.0887000104412
4444,1612214035.8371127,1,6,red,blue,incongruent,correct,1153.7190999952145
4444,1612214038.67545,1,7,blue,red,incongruent,correct,821.2804999784566
4444,1612214041.0611317,1,8,blue,red,incongruent,correct,370.45370001578704
4444,1612214043.4630795,1,9,red,red,congruent,incorrect,386.82559999870136
4444,1612214045.815709,1,10,red,yellow,incongruent,correct,336.55950002139434
4444,1612214048.4178212,1,11,red,yellow,incongruent,Block Timeout,-1
4444,1612214070.5104206,2,0,yellow,yellow,congruent,TIMEOUT,5000
4444,1612214077.5336275,2,1,blue,blue,congruent,TIMEOUT,5000
4444,1612214084.5584483,2,2,yellow,yellow,congruent,TIMEOUT,5000
4444,1612214091.5830598,2,3,red,red,congruent,TIMEOUT,5000
4444,1612214095.5046492,2,4,yellow,yellow,congruent,Block Timeout,-1
4444,1612214117.596491,3,0,yellow,blue,incongruent,TIMEOUT,5000
4444,1612214124.6200984,3,1,blue,blue,congruent,TIMEOUT,5000
4444,1612214131.6445956,3,2,red,yellow,incongruent,TIMEOUT,5000
4444,1612214138.669421,3,3,yellow,blue,incongruent,TIMEOUT,5000
4444,1612214142.58927,3,4,yellow,blue,incongruent,Block Timeout,-1
4444,1612214164.6691706,4,0,red,red,congruent,TIMEOUT,5000
4444,1612214171.6892047,4,1,yellow,yellow,congruent,TIMEOUT,5000
4444,1612214178.714912,4,2,yellow,yellow,congruent,TIMEOUT,5000
4444,1612214185.7388296,4,3,blue,blue,congruent,TIMEOUT,5000
4444,1612214189.676951,4,4,blue,blue,congruent,Block Timeout,-1
4444,1612214211.7532141,5,0,red,yellow,incongruent,TIMEOUT,5000
4444,1612214218.776212,5,1,red,blue,incongruent,TIMEOUT,5000
4444,1612214225.7999823,5,2,blue,yellow,incongruent,TIMEOUT,5000
4444,1612214232.823907,5,3,blue,yellow,incongruent,TIMEOUT,5000
4444,1612214236.7619233,5,4,red,blue,incongruent,Block Timeout,-1
