subject_id,timestamp,block_num,trial_num,display_text,display_color,trial_type,response_accuracy,response_time
trev,1611961392.4120915,0,0,blue,blue,congruent,correct,1082.5413160018797
trev,1611961395.2787976,0,1,red,red,congruent,correct,848.2129769981839
trev,1611961397.7787774,0,2,blue,blue,congruent,correct,481.4940919968649
trev,1611961400.2121491,0,3,red,red,congruent,correct,414.8523280018708
trev,1611961402.5788112,0,4,blue,blue,congruent,correct,348.8463840003533
trev,1611961404.978782,0,5,yellow,yellow,congruent,correct,381.45097000233363
trev,1611961407.2955186,0,6,yellow,yellow,congruent,correct,298.1716700014658
trev,1611961409.7122219,0,7,blue,blue,congruent,correct,398.2642439987103
trev,1611961412.062221,0,8,yellow,yellow,congruent,correct,331.52350900127203
trev,1611961414.3622293,0,9,blue,blue,congruent,correct,281.5200030017877
trev,1611961416.645579,0,10,red,red,congruent,correct,264.8361069987004
trev,1611961418.978931,0,11,red,red,congruent,correct,314.82778700228664
trev,1611961421.3289487,0,12,yellow,yellow,congruent,correct,331.5100360014185
trev,1611961438.8291035,1,0,blue,red,incongruent,incorrect,419.69433700069203
trev,1611961442.1124375,1,1,red,yellow,incongruent,correct,1264.845729998342
trev,1611961445.0624607,1,2,blue,red,incongruent,correct,931.5280440023344
trev,1611961447.8791373,1,3,yellow,yellow,congruent,correct,798.168135999731
trev,1611961451.0458806,1,4,blue,red,incongruent,correct,1148.2382699978189
trev,1611961453.9625213,1,5,red,red,congruent,correct,898.1060559999605
trev,1611961457.1292086,1,6,blue,yellow,incongruent,correct,1148.1588979986554
trev,1611961459.812555,1,7,blue,yellow,incongruent,correct,664.8367259986117
trev,1611961462.712577,1,8,yellow,red,incongruent,correct,881.4904099999694
trev,1611961465.6792934,1,9,yellow,yellow,congruent,incorrect,948.2051310005772
trev,1611961468.412564,1,10,red,blue,incongruent,Block Timeout,-1
trev,1611961485.8461158,2,0,yellow,yellow,congruent,correct,352.70317300091847
trev,1611961488.4128032,2,1,blue,blue,congruent,correct,548.2031730025483
trev,1611961491.0127914,2,2,red,red,congruent,correct,581.5102009983093
trev,1611961493.0794907,2,3,yellow,yellow,congruent,correct,48.171185997489374
trev,1611961495.7628183,2,4,blue,blue,congruent,correct,664.8214229971927
trev,1611961498.529521,2,5,blue,blue,congruent,correct,748.1683919977513
trev,1611961501.5128713,2,6,yellow,yellow,congruent,correct,964.8637710015464
trev,1611961504.8128967,2,7,red,red,congruent,correct,1281.5140530001372
trev,1611961507.212917,2,8,blue,blue,congruent,correct,381.5064770024037
trev,1611961509.7462566,2,9,red,red,congruent,correct,514.8255149979377
trev,1611961513.046297,2,10,yellow,yellow,congruent,correct,1281.5185689978534
trev,1611961515.4962451,2,11,blue,blue,congruent,Block Timeout,-1
trev,1611961533.1464798,3,0,yellow,red,incongruent,incorrect,578.1711810013803
trev,1611961536.8631475,3,1,red,blue,incongruent,correct,1698.199903999921
trev,1611961539.6298301,3,2,yellow,blue,incongruent,correct,748.1731110019609
trev,1611961543.663213,3,3,blue,yellow,incongruent,correct,2014.8800979986845
trev,1611961547.029923,3,4,yellow,red,incongruent,correct,1348.2106359988393
trev,1611961550.1965835,3,5,red,yellow,incongruent,correct,1148.1858840015775
trev,1611961553.2132745,3,6,blue,blue,congruent,correct,998.1791210011579
trev,1611961556.446634,3,7,red,red,congruent,correct,1214.9213250013418
trev,1611961559.229964,3,8,red,yellow,incongruent,correct,766.0708629991859
trev,1611961561.9634376,3,9,yellow,red,incongruent,correct,715.0139219993434
trev,1611961580.0967805,4,0,blue,blue,congruent,correct,1052.452992000326
trev,1611961582.546712,4,1,blue,blue,congruent,correct,432.7446820025216
trev,1611961584.9467995,4,2,red,red,congruent,correct,381.5236279988312
trev,1611961587.380148,4,3,blue,blue,congruent,correct,414.844560000347
trev,1611961589.7635028,4,4,yellow,yellow,congruent,correct,365.5609800007369
trev,1611961592.0635216,4,5,yellow,yellow,congruent,correct,281.576616998791
trev,1611961594.7468705,4,6,red,red,congruent,correct,664.9317260016687
trev,1611961597.1468935,4,7,yellow,yellow,congruent,correct,381.5092080003524
trev,1611961599.9469135,4,8,blue,blue,congruent,correct,781.4964259996486
trev,1611961602.3302674,4,9,blue,blue,congruent,correct,364.850142999785
trev,1611961604.9636965,4,10,red,red,congruent,correct,614.9273800001538
trev,1611961607.4303148,4,11,red,red,congruent,correct,448.36790499903145
trev,1611961625.3971484,5,0,yellow,blue,incongruent,incorrect,885.6094410002697
trev,1611961627.9471493,5,1,yellow,red,incongruent,correct,533.2383789973392
trev,1611961630.6805017,5,2,blue,red,incongruent,correct,714.8478609997255
trev,1611961634.1638622,5,3,blue,blue,congruent,correct,1465.9116309994715
trev,1611961636.9305537,5,4,red,blue,incongruent,correct,748.6234220014012
trev,1611961640.3305893,5,5,blue,yellow,incongruent,correct,1381.5316619984515
trev,1611961644.0972826,5,6,red,red,congruent,correct,1748.2092930004
trev,1611961647.0139806,5,7,red,blue,incongruent,correct,898.1501050002407
trev,1611961650.0806632,5,8,blue,yellow,incongruent,correct,1048.194250000961
trev,1611961652.8473434,5,9,red,blue,incongruent,correct,749.3908500000543
