id,timestamp,boot_time,time_since_boot_time,trigger,trigger_string
size,1612799630.161184,1612755367.0,44263.16118431091,1,Instructions_Displayed
size,1612799633.113235,1612755367.0,44266.113235235214,1,Instructions_Displayed
size,1612799634.7741547,1612755367.0,44267.774154901505,32,Page_Turn_Instructions
size,1612799635.3461866,1612755367.0,44268.346187114716,32,Page_Turn_Instructions
size,1612799635.8901868,1612755367.0,44268.89018702507,32,Page_Turn_Instructions
size,1612799636.4781265,1612755367.0,44269.4781267643,32,Page_Turn_Instructions
size,1612799637.9341512,1612755367.0,44270.93415141106,33,Scanner_Start_Received
size,1612799637.9342437,1612755367.0,44270.934243917465,16,Stroop_Block_Start
size,1612799637.9688702,1612755367.0,44270.96887040138,18,Stroop_Stim_Displayed_Congruent
size,1612799639.59842,1612755367.0,44272.59842014313,20,Stroop_Stim_Response_Correct
size,1612799641.6169379,1612755367.0,44274.616938352585,18,Stroop_Stim_Displayed_Congruent
size,1612799643.0484965,1612755367.0,44276.048496723175,20,Stroop_Stim_Response_Correct
size,1612799645.066981,1612755367.0,44278.06698131561,18,Stroop_Stim_Displayed_Congruent
size,1612799646.0318491,1612755367.0,44279.03184938431,20,Stroop_Stim_Response_Correct
size,1612799648.0503657,1612755367.0,44281.050365924835,18,Stroop_Stim_Displayed_Congruent
