,TextID,PageNum,Concept,InstructionText,QuestionText,AnswerOption1,AnswerOption2,AnswerOption3,AnswerOption4,AnswerIndex,AnswerOptionsAll
1,ScientificMethod,1,4 Ways to truth,Please select the best answer to the question.,Who is Charles Sanders Pierce?,A philosopher of science,A behavioral scientist,A professor,The author,0,A philosopher of science * A behavioral scientist * A professor * The author
2,ScientificMethod,2,4 Ways to truth,Please select the best answer to the question.,What is the 'Method of Tenacity',The process by which people believe something just because they have heard it from multiple sources,The process by which people believe something just because it came from a trusted source,The process by which people believe something just because it sounds true,The process by which people believe something because it makes them feel good,0,The process by which people believe something just because they have heard it from multiple sources * The process by which people believe something just because it came from a trusted source * The process by which people believe something just because it sounds true * The process by which people believe something because it makes them feel good
3,ScientificMethod,3,4 Ways to truth,Please select the best answer to the question.,How does the method of authority compare to the method of tenacity?,The method of tenacity is a more accurate way of finding truth than the method of authority.,The method of authority is the most accurate way of finding truth.,Both the method of tenacity and the method of authority are equally bad ways to find truth.,"The method of authority is a more accurate way of finding truth than the method of tenacity, but not as good as other methods.",0,"The method of tenacity is a more accurate way of finding truth than the method of authority. * The method of authority is the most accurate way of finding truth. * Both the method of tenacity and the method of authority are equally bad ways to find truth. * The method of authority is a more accurate way of finding truth than the method of tenacity, but not as good as other methods."
4,ScientificMethod,4,4 Ways to truth,Please select the best answer to the question.,What is the a priori method?,Reasoning from cause to effect,Using scientific observation,Deciding on the answer beforehand,Reasoning from a specific idea to a general instance,0,Reasoning from cause to effect * Using scientific observation * Deciding on the answer beforehand * Reasoning from a specific idea to a general instance
5,ScientificMethod,5,4 Ways to truth,Please select the best answer to the question.,How did the rules for the scientific method come about?,The rules evolved gradually as scientists figured out what worked,Charles Sanders Peirce described them,Scientists let nature decide,There are no rules for the scientific method,0,The rules evolved gradually as scientists figured out what worked * Charles Sanders Peirce described them * Scientists let nature decide * There are no rules for the scientific method
6,ScientificMethod,6,Problems with the scientific Method,Please select the best answer to the question.,"What method of reasoning is used by painters, novelists, and theologians to answer questions and settle disputes?",A Priori,Method of Authority,Method of Tenacity,Scientific Method,0,A Priori * Method of Authority * Method of Tenacity * Scientific Method
7,ScientificMethod,7,Problems with the scientific Method,Please select the best answer to the question.,Which is not a potential description of the scientific method according to the text you read?,Reasoning from prior knowledge,Anything Goes,Doing your damndest,Letting nature answer the question asked by the scientist,0,Reasoning from prior knowledge * Anything Goes * Doing your damndest * Letting nature answer the question asked by the scientist
8,ScientificMethod,8,Problems with the scientific Method,Please select the best answer to the question.,Which of the following definitions of 'truth' is closest to what modern scientists use?,There is no strict definition of truth,An adequate correspondence to reality,A set of coherent concepts,The current societal norms,0,There is no strict definition of truth * An adequate correspondence to reality * A set of coherent concepts * The current societal norms
9,ScientificMethod,9,Serendipity,Please select the best answer to the question.,What does 'Serendip' mean?,An old name for Sri Lanka,Accidental,Lucky,A fabled Kingdom,0,An old name for Sri Lanka * Accidental * Lucky * A fabled Kingdom
10,ScientificMethod,10,Serendipity,Please select the best answer to the question.,The discovery of Pulsars is an example of,The role of serendipity in scientific research,Extraterrestrial Scintillations,A radio signal,A supernova,0,The role of serendipity in scientific research * Extraterrestrial Scintillations * A radio signal * A supernova
