indx,cue_number,video,video_affect_continuous,video_affect_categorical,video_time,
Ear_Test_1,1,Ear_Test_1.avi,0.503862304,Neutral,0.1,6.9
Ear_Test_1,1,None,0.503862304,Neutral,0.1,6.9
Motorcycle_Accident_1,2,Motorcycle_Accident_1.avi,0.244394362,Negative,0.1,6.9
Motorcycle_Accident_1,2,None,0.244394362,Negative,0.1,6.9
Origami_Snake_1,3,Origami_Snake_1.avi,0.621417012,Neutral,0.1,6.9
Origami_Snake_1,3,None,0.621417012,Neutral,0.1,6.9
Snake_1,4,Snake_1.avi,0.354025259,Negative,0.1,6.9
Snake_1,4,None,0.354025259,Negative,0.1,6.9
Pus_Nipple_1,5,Pus_Nipple_1.avi,0.204561312,Negative,0.1,6.9
Pus_Nipple_1,5,None,0.204561312,Negative,0.1,6.9
Car_Crash_1,6,Car_Crash_1.avi,0.23416595,Negative,0.1,6.9
Car_Crash_1,6,None,0.23416595,Negative,0.1,6.9
Feet_2,7,Feet_2.avi,0.125377614,Negative,0.1,6.9
Feet_2,7,None,0.125377614,Negative,0.1,6.9
Feet_1,8,Feet_1.avi,0.163209223,Negative,0.1,6.9
Feet_1,8,None,0.163209223,Negative,0.1,6.9
Tapeworm_Dog_1,9,Tapeworm_Dog_1.avi,0.147023659,Negative,0.1,6.9
Tapeworm_Dog_1,9,None,0.147023659,Negative,0.1,6.9
Mango_Worm_2,10,Mango_Worm_2.avi,0.179276306,Negative,0.1,6.9
Mango_Worm_2,10,None,0.179276306,Negative,0.1,6.9
Motorcycle_Accident_2,11,Motorcycle_Accident_2.avi,0.249509624,Negative,0.1,6.9
Motorcycle_Accident_2,11,None,0.249509624,Negative,0.1,6.9
Pimple_Popping_1,12,Pimple_Popping_1.avi,0.256852027,Negative,0.1,6.9
Pimple_Popping_1,12,None,0.256852027,Negative,0.1,6.9
Tank_destroyed_2,13,Tank_destroyed_2.avi,0.304622522,Negative,0.1,6.9
Tank_destroyed_2,13,None,0.304622522,Negative,0.1,6.9
Mosul_Destruction_1,14,Mosul_Destruction_1.avi,0.270875803,Negative,0.1,6.9
Mosul_Destruction_1,14,None,0.270875803,Negative,0.1,6.9
Town_Bomb_2,15,Town_Bomb_2.avi,0.226674024,Negative,0.1,6.9
Town_Bomb_2,15,None,0.226674024,Negative,0.1,6.9
Fly_laying_Egg_1,16,Fly_laying_Egg_1.avi,0.334414726,Negative,0.1,6.9
Fly_laying_Egg_1,16,None,0.334414726,Negative,0.1,6.9
Worms_in_Hole_1,17,Worms_in_Hole_1.avi,0.140567073,Negative,0.1,6.9
Worms_in_Hole_1,17,None,0.140567073,Negative,0.1,6.9
Teeth_Plaque_1,18,Teeth_Plaque_1.avi,0.139983702,Negative,0.1,6.9
Teeth_Plaque_1,18,None,0.139983702,Negative,0.1,6.9
Massive_Dendruff_1,19,Massive_Dendruff_1.avi,0.183368937,Negative,0.1,6.9
Massive_Dendruff_1,19,None,0.183368937,Negative,0.1,6.9
Meal_Moth_1,20,Meal_Moth_1.avi,0.325183989,Negative,0.1,6.9
Meal_Moth_1,20,None,0.325183989,Negative,0.1,6.9
Tornado_2,21,Tornado_2.avi,0.282073627,Negative,0.1,6.9
Tornado_2,21,None,0.282073627,Negative,0.1,6.9
Plane_2,22,Plane_2.avi,0.161471545,Negative,0.1,6.9
Plane_2,22,None,0.161471545,Negative,0.1,6.9
Tornado_1,23,Tornado_1.avi,0.280451927,Negative,0.1,6.9
Tornado_1,23,None,0.280451927,Negative,0.1,6.9
Purging_1,24,Purging_1.avi,0.23525768,Negative,0.1,6.9
Purging_1,24,None,0.23525768,Negative,0.1,6.9
Town_Bomb_1,25,Town_Bomb_1.avi,0.238162242,Negative,0.1,6.9
Town_Bomb_1,25,None,0.238162242,Negative,0.1,6.9
Wasp_vs_Spider_1,26,Wasp_vs_Spider_1.avi,0.308249673,Negative,0.1,6.9
Wasp_vs_Spider_1,26,None,0.308249673,Negative,0.1,6.9
Belly_Skin_1,27,Belly_Skin_1.avi,0.440739195,Neutral,0.1,6.9
Belly_Skin_1,27,None,0.440739195,Neutral,0.1,6.9
Car_drives_over_highway_1,28,Car_drives_over_highway_1.avi,0.562270166,Neutral,0.1,6.9
Car_drives_over_highway_1,28,None,0.562270166,Neutral,0.1,6.9
Cleaning_Shoes_1,29,Cleaning_Shoes_1.avi,0.589594355,Neutral,0.1,6.9
Cleaning_Shoes_1,29,None,0.589594355,Neutral,0.1,6.9
Cleaning_Shoes_2,30,Cleaning_Shoes_2.avi,0.563401287,Neutral,0.1,6.9
Cleaning_Shoes_2,30,None,0.563401287,Neutral,0.1,6.9
Dog_Show_Examination_Close_up_1,31,Dog_Show_Examination_Close_up_1.avi,0.532190674,Neutral,0.1,6.9
Dog_Show_Examination_Close_up_1,31,None,0.532190674,Neutral,0.1,6.9
Dog_with_black_curly_hair_1,32,Dog_with_black_curly_hair_1.avi,0.625998739,Neutral,0.1,6.9
Dog_with_black_curly_hair_1,32,None,0.625998739,Neutral,0.1,6.9
Driving_Motorcycle_1,33,Driving_Motorcycle_1.avi,0.568826154,Neutral,0.1,6.9
Driving_Motorcycle_1,33,None,0.568826154,Neutral,0.1,6.9
Driving_Motorcycle_2,34,Driving_Motorcycle_2.avi,0.537975546,Neutral,0.1,6.9
Driving_Motorcycle_2,34,None,0.537975546,Neutral,0.1,6.9
Egypt_City_1,35,Egypt_City_1.avi,0.479244549,Neutral,0.1,6.9
Egypt_City_1,35,None,0.479244549,Neutral,0.1,6.9
Erbil_Drone_1,36,Erbil_Drone_1.avi,0.552000236,Neutral,0.1,6.9
Erbil_Drone_1,36,None,0.552000236,Neutral,0.1,6.9
Erbil_Street_View_1,37,Erbil_Street_View_1.avi,0.545420846,Neutral,0.1,6.9
Erbil_Street_View_1,37,None,0.545420846,Neutral,0.1,6.9
Glass_1,38,Glass_1.avi,0.544296938,Neutral,0.1,6.9
Glass_1,38,None,0.544296938,Neutral,0.1,6.9
Gummy_Worm_1,39,Gummy_Worm_1.avi,0.62185023,Neutral,0.1,6.9
Gummy_Worm_1,39,None,0.62185023,Neutral,0.1,6.9
Lips_Close_Up_1,40,Lips_Close_Up_1.avi,0.438094983,Neutral,0.1,6.9
Lips_Close_Up_1,40,None,0.438094983,Neutral,0.1,6.9
Midpart_Hair_1,41,Midpart_Hair_1.avi,0.504270226,Neutral,0.1,6.9
Midpart_Hair_1,41,None,0.504270226,Neutral,0.1,6.9
Opening_Thermos_1,42,Opening_Thermos_1.avi,0.532648456,Neutral,0.1,6.9
Opening_Thermos_1,42,None,0.532648456,Neutral,0.1,6.9
Parking_Lot_1,43,Parking_Lot_1.avi,0.525849983,Neutral,0.1,6.9
Parking_Lot_1,43,None,0.525849983,Neutral,0.1,6.9
Privat_Jet_1,44,Privat_Jet_1.avi,0.604886646,Neutral,0.1,6.9
Privat_Jet_1,44,None,0.604886646,Neutral,0.1,6.9
Streets_1,45,Streets_1.avi,0.50626361,Neutral,0.1,6.9
Streets_1,45,None,0.50626361,Neutral,0.1,6.9
Toilet_1,46,Toilet_1.avi,0.454674876,Neutral,0.1,6.9
Toilet_1,46,None,0.454674876,Neutral,0.1,6.9
View_House_front_1,47,View_House_front_1.avi,0.513837605,Neutral,0.1,6.9
View_House_front_1,47,None,0.513837605,Neutral,0.1,6.9
Window_Frame_1,48,Window_Frame_1.avi,0.47756907,Neutral,0.1,6.9
Window_Frame_1,48,None,0.47756907,Neutral,0.1,6.9
