wort,valenzmw,arousalmw,concretenessmw,frequency,imageability,condition
Gabel,5.187500,2.142857,1.190476,14,5.77272727,0
Besen,4.765625,1.983871,1.206349,13,5.72727273,0
Hammer,4.906250,3.048387,1.209677,11,6.09,1
Toaster,5.156250,2.161290,1.253968,15,5.59,0
Pfanne,5.000000,2.258065,1.253968,14,5.86363636,1
Stuhl,4.968750,2.031746,1.269841,11,6.23,1
Bagger,4.968750,2.516129,1.269841,12,5.41,0
Lampe,5.365079,2.274194,1.285714,12,5.59090909,1
Löffel,5.140625,1.935484,1.301587,13,6.14,1
Schere,4.984375,2.209677,1.317460,13,5.95454545,1
Schrank,5.015625,2.229508,1.317460,12,6.14,0
Schuh,5.375000,2.734375,1.317460,12,5.64,1
Stein,4.984375,2.396825,1.333333,10,5.5,1
Tasse,5.078125,1.935484,1.349206,13,6,0
Tisch,5.015625,1.790323,1.365079,9,6.09,0
Flasche,5.046875,2.412698,1.396825,11,5.91,1
Stiefel,4.984375,3.064516,1.403226,13,5.77,1
Finger,5.111111,3.625000,1.412698,10,5.90909091,0
Spiegel,5.453125,3.301587,1.428571,9,5.59,0
Erbse,5.140625,1.951613,1.444444,17,5.68181818,0
Kreide,5.046875,2.218750,1.451613,13,5.73,0
Traktor,5.062500,2.098361,1.460318,14,5.41,1
Dose,5.078125,2.190476,1.460318,13,5.45,1
Fenster,5.359375,2.290323,1.460318,9,6.14,0
Dackel,5.015625,2.672131,1.460318,14,6.14,1
Mais,5.437500,2.322581,1.467742,13,6.555555556,1
Nadel,4.718750,4.015625,1.476191,13,6.09090909,0
Nase,5.187500,3.125000,1.483871,10,6,1
Kamm,4.906250,1.859375,1.492064,14,5.68,0
Schiff,5.453125,2.854839,1.492064,10,5.82,0
Jacke,4.906250,2.096774,1.500000,12,5.55,1
Schirm,5.250000,2.333333,1.500000,13,6.23,0
Glas,5.203125,2.387097,1.507937,10,5.55,0
Daumen,5.046875,2.571429,1.516129,13,5.95454545,1
Tasche,5.093750,2.412698,1.596774,12,5.95,0
Birke,5.312500,2.548387,1.596774,15,5.68181818,0
Bohne,5.109375,2.492064,1.603175,16,5.40909091,1
Turm,5.328125,2.746032,1.603175,11,5.64,1
Treppe,4.906250,2.250000,1.612903,11,5.95,0
Decke,5.312500,2.467742,1.634921,11,5.77,1
