item,scenario,condition
nonsoz_1,"Nach einer Feier bei mir wird aufgeräumt, aber ich habe keine Lust, den Müll zu trennen. Ich packe den gesamten Müll in einen Sack.",1
nonsoz_10,"Es ist heiß, die Sonne scheint und ich bekomme schnell Sonnenbrand. Längere Klamotten wären sinnvoll, jedoch möchte ich nicht schwitzen und verzichte darauf.",2
nonsoz_100,"Auf dem Hinweg zum Einkaufen bemerke ich, dass ich meinen Einkaufsbeutel vergessen habe. Trotzdem gehe ich zum Supermarkt und kaufe mir einen neuen.",1
nonsoz_102,"Ich habe große Lust auf Schokolade, möchte aber eigentlich gerade abnehmen. Trotzdem kann ich der Versuchung nicht widerstehen, ein Stückchen zu essen.",2
nonsoz_103,"Ich habe mir eine Eispackung gekauft und möchte sie über mehrere Wochen verteilt essen. Weil es dann so köstlich schmeckt, esse ich alles auf einmal.",1
nonsoz_106,"Ich hatte mir für heute ein Workout vorgenommen. Weil ich nach meinem langen Arbeitstag keine Lust mehr habe, lasse ich es ausfallen und verschiebe es.",2
nonsoz_107,"Ich bin bei einem All You Can Eat Buffet. Obwohl ich mehr auf mein Körpergewicht achten wollte, entschließe ich mich, übermäßig viel zu essen.",2
nonsoz_108,"Ich ziehe aus und muss laut Mietvertrag die Zimmerwände streichen. Da ich gestresst bin, streiche ich nicht und hoffe, dass es nicht auffallen wird.",1
nonsoz_11,"Mein Kühlschrank kühlt nicht mehr richtig, das Gefrierfach müsste abgetaut werden. Weil mir das momentan zu viel Aufwand ist, nehme ich es mir für später vor.",1
nonsoz_112,"Es regnet und ich nehme mein Fahrrad mit in die Bahn. Allerdings möchte ich nicht extra ein Fahrradticket kaufen und hoffe, nicht kontrolliert zu werden.",1
nonsoz_113,"Eines meiner Zimmer hat eine farbige Wand, die ich überhaupt nicht schön finde. Jedoch stresst mich der Aufwand des Streichens und ich streiche vorerst nicht.",1
nonsoz_114,Mein  Handytarif ist zu teuer für die gebotenen Konditionen. Jedoch bin ich zu faul einen günstigeren Tarif herauszusuchen und behalte meinen alten Tarif.,1
nonsoz_12,Mein Gefrierfach ist vereist und muss abgetaut werden. Mir ist das im Moment zu aufwändig und ich nehme es mir für die nächste Woche vor.,2
